startDate,endDate,duration,distance,unit,calories
2021-01-26 10:29:40 -0800,2021-01-26 11:15:55 -0800,46.25078549981117,2200,yd,352.67
2021-01-29 09:04:46 -0800,2021-01-29 09:50:54 -0800,46.13716563383738,2350,yd,376.508
2021-01-30 10:03:09 -0800,2021-01-30 10:51:03 -0800,47.90558763345083,1950,yd,335.635
2021-01-31 10:06:16 -0800,2021-01-31 10:50:55 -0800,44.65209120114644,200,yd,83.0712
2021-02-02 11:27:43 -0800,2021-02-02 12:14:44 -0800,47.01959589918454,2300,yd,367.498
2021-02-04 19:28:29 -0800,2021-02-04 20:11:10 -0800,42.68108206590016,2075,yd,312.43
2021-02-06 10:03:05 -0800,2021-02-06 10:50:54 -0800,47.81930156548818,2050,yd,350.781
2021-02-07 12:01:07 -0800,2021-02-07 12:52:22 -0800,51.25701874891917,2025,yd,345.931
2021-02-09 11:30:12 -0800,2021-02-09 12:15:07 -0800,44.91770443320274,2225,yd,358.125
2021-02-10 19:00:40 -0800,2021-02-10 19:50:36 -0800,49.93905465006829,2425,yd,391.606
2021-02-14 11:55:23 -0800,2021-02-14 12:50:40 -0800,55.28300228317578,2700,yd,434.337
2021-02-15 20:19:59 -0800,2021-02-15 21:10:55 -0800,50.93353553414345,2450,yd,388.482
2021-02-16 10:31:57 -0800,2021-02-16 11:15:28 -0800,43.51477493246396,1900,yd,312.002
2021-02-17 17:01:32 -0800,2021-02-17 17:49:42 -0800,48.17284794847171,2300,yd,355.238
2021-02-18 18:55:01 -0800,2021-02-18 19:50:43 -0800,55.71293956637383,2775,yd,421.737
2021-02-19 20:23:11 -0800,2021-02-19 21:10:17 -0800,46.86421841581662,2400,yd,381.772
2021-02-22 20:23:08 -0800,2021-02-22 21:10:10 -0800,47.02476246754328,2200,yd,357.428
2021-02-23 10:31:54 -0800,2021-02-23 11:15:43 -0800,43.81879114905993,2000,yd,319.286
2021-02-24 18:58:58 -0800,2021-02-24 19:50:35 -0800,51.6257226506869,2525,yd,398.756
